Device: cuda
Vocabulary size: 125 | PAD index: 0
Training data: 1754281 sequences x 100 steps
Trainable parameters: 21636221
Batch size: 128 | batches per epoch: 13705 | epochs: 15
  epoch 2/15 | batch 7700/13705 | loss 0.3896 | avg 0.4034
  epoch 2/15 | batch 7800/13705 | loss 0.4070 | avg 0.4033
  epoch 2/15 | batch 7900/13705 | loss 0.3911 | avg 0.4032
  epoch 2/15 | batch 8000/13705 | loss 0.3957 | avg 0.4031
  epoch 2/15 | batch 8100/13705 | loss 0.4086 | avg 0.4030
  epoch 2/15 | batch 8200/13705 | loss 0.4058 | avg 0.4029
  epoch 2/15 | batch 8300/13705 | loss 0.3964 | avg 0.4028
  epoch 2/15 | batch 8400/13705 | loss 0.3987 | avg 0.4027
  epoch 2/15 | batch 8500/13705 | loss 0.3833 | avg 0.4026
  epoch 2/15 | batch 8600/13705 | loss 0.4042 | avg 0.4025
  epoch 2/15 | batch 8700/13705 | loss 0.4018 | avg 0.4024
  epoch 2/15 | batch 8800/13705 | loss 0.4033 | avg 0.4023
  epoch 2/15 | batch 8900/13705 | loss 0.3790 | avg 0.4022
  epoch 2/15 | batch 9000/13705 | loss 0.4051 | avg 0.4021
  epoch 2/15 | batch 9100/13705 | loss 0.3933 | avg 0.4020
  epoch 2/15 | batch 9200/13705 | loss 0.3826 | avg 0.4019
  epoch 2/15 | batch 9300/13705 | loss 0.4069 | avg 0.4018
  epoch 2/15 | batch 9400/13705 | loss 0.3836 | avg 0.4017
  epoch 2/15 | batch 9500/13705 | loss 0.3932 | avg 0.4016
  epoch 2/15 | batch 9600/13705 | loss 0.3935 | avg 0.4015
  epoch 2/15 | batch 9700/13705 | loss 0.3851 | avg 0.4014
  epoch 2/15 | batch 9800/13705 | loss 0.3946 | avg 0.4012
  epoch 2/15 | batch 9900/13705 | loss 0.3856 | avg 0.4011
  epoch 2/15 | batch 10000/13705 | loss 0.3996 | avg 0.4010
  epoch 2/15 | batch 10100/13705 | loss 0.3901 | avg 0.4010
  epoch 2/15 | batch 10200/13705 | loss 0.3702 | avg 0.4009
  epoch 2/15 | batch 10300/13705 | loss 0.3879 | avg 0.4008
  epoch 2/15 | batch 10400/13705 | loss 0.3933 | avg 0.4007
